Project	Effective Year	County	ESD Region
Thirty (30) Beats	2009	Queens	NYC
One Fall	2009	Queens	NYC
Yelling to the Sky	2009	Queens	NYC
When Harry tries to Marry	2009	Queens	NYC
Kiss for Jed Wood	2009	Queens	NYC
Howl	2009	Queens	NYC
Almost Perfect	2009	Queens	NYC
Silver Tongues	2009	Queens	NYC
East Fifth Bliss	2009	Queens	NYC
Foreclosure	2009	Queens	NYC
Queen City	2009	Erie	Western NY
Salt	2008	Nassau	Long Island
Exit 19 Pilot	2008	Queens	Long Island
Gossip Girl Season 2	2008	Queens	Long Island
Rebound	2008	Queens	Long Island
How to Make It in America Pilot	2008	Queens	Long Island
Thirty Rock Season 3	2008	Queens	Long Island
Fringe Season 1	2008	Queens	Long Island
Cupid Pilot	2008	Queens	Long Island
"Greatest, The"	2008	Queens	Long Island
City Island	2008	Queens	Long Island
Ugly Betty Season 3	2008	Queens	Long Island
Unusuals Pilot	2008	Queens	Long Island
Castle Pilot	2008	Queens	Long Island
Paper Man	2008	Queens	Long Island
Nurse Jackie Pilot	2008	Queens	Long Island
In Treatment Season 2	2008	Queens	Long Island
Wonderful Maladys Pilot	2008	Queens	Long Island
Julie & Julia	2008	Queens	Long Island
Suburban Shootout Pilot	2008	Suffolk	Long Island
Splinterheads	2008	Suffolk	Long Island
It's a Big Big World	2008	Suffolk	Long Island
Taking Woodstock	2008	Westchester	Mid-Hudson
Thirteen	2008	Westchester	Mid-Hudson
Last Day of Summer	2008	Bronx	NYC
Absence	2008	Bronx	NYC
Can Openers Pilot	2008	Kings	NYC
Sorcerer's Apprentice	2008	Kings	NYC
Englishman in New York	2008	Kings	NYC
Veronika Decides to Die	2008	Kings	NYC
Hungry Ghosts	2008	Kings	NYC
Holy Rollers	2008	Kings	NYC
Casualty	2008	Kings	NYC
SubterraNYa	2008	Kings	NYC
Watching TV w/ Red Chinese	2008	Kings	NYC
Whitest Kids You Know Season 3	2008	Kings	NYC
Please Give (Holofcener Project)	2008	Kings	NYC
Solitary Man	2008	Kings	NYC
Choose	2008	Kings	NYC
Evan & Gareth Pilot	2008	Kings	NYC
Motherhood	2008	Kings	NYC
As Good As Dead	2008	Kings	NYC
After Life	2008	Kings	NYC
Sherlock Holmes	2008	Kings	NYC
Couple of Cops	2008	Kings	NYC
Today's Special(fka 7 to the Palace)	2008	Kings	NYC
Tested	2008	Kings	NYC
Handsome Harry	2008	Kings	NYC
Step Up 3D	2008	Kings	NYC
Damages Season 2	2008	Kings	NYC
Brooklyn's Finest	2008	Kings	NYC
Invisible Sign of my Own	2008	Kings	NYC
Loving Leah (Unorthodox)	2008	Kings	NYC
Muppets: Letters to Santa Pilot	2008	Kings	NYC
Every Day	2008	Kings	NYC
When in Rome	2008	Kings	NYC
"Tempest, The"	2008	Kings	NYC
Possible Side Effects Pilot	2008	Kings	NYC
Unusuals Season 1	2008	Kings	NYC
Boardwalk Empire Season 1	2008	Kings	NYC
Did You Hear About the Morgans?	2008	Kings	NYC
SNL 34 Election Special	2008	New York	NYC
Girlfriend Experience	2008	New York	NYC
Notorious	2008	New York	NYC
Gigantic	2008	New York	NYC
Saturday Night Live Season 34	2008	New York	NYC
Horizon	2008	New York	NYC
Winning Season	2008	New York	NYC
Law and Order CI Season 8	2008	New York	NYC
Law and Order Season 19	2008	New York	NYC
Michael and Michael Have Issues Pilot	2008	New York	NYC
No Love in the City	2008	Queens	NYC
Last of the Ninth Pilot	2008	Queens	NYC
Dan Zanes Show Pilot	2008	Queens	NYC
Life on Mars Season 1	2008	Queens	NYC
Cupid Season 1	2008	Queens	NYC
Flight of the Conchords Season 2	2008	Queens	NYC
Kings Season 1	2008	Queens	NYC
Bored to Death Pilot	2008	Queens	NYC
Rescue Me Season 5	2008	Queens	NYC
It's Complicated	2008	Queens	NYC
Love and Other Impossible Pursuits	2008	Queens	NYC
Rubicon Pilot	2008	Queens	NYC
Jack Goes Boating	2008	Queens	NYC
Bored to Death Season 1	2008	Queens	NYC
"New York, I Love You"	2008	Queens	NYC
Last Film Festival	2008	Queens	NYC
Kings Pilot	2008	Queens	NYC
Stags	2008	Queens	NYC
Coach	2008	Queens	NYC
New York Thing	2008	Queens	NYC
Royal Pains Pilot	2008	Queens	NYC
Good Guy	2008	Queens	NYC
Naked Brothers Band Season 3	2008	Queens	NYC
Lipstick Jungle Season 2	2008	Queens	NYC
I Hate Valentine's Day	2008	Queens	NYC
Taking of Pelham 1-2-3	2008	Queens	NYC
Whatever Works aka WASP	2008	Queens	NYC
Nurse Jackie Season 1	2008	Queens	NYC
White Collar Pilot	2008	Queens	NYC
Last Night	2008	Queens	NYC
Phoebe in Wonderland	2007	Queens	Long Island
Gossip Girl Pilot	2007	Queens	Long Island
Cashmere Mafia Pilot	2007	Queens	Long Island
Dirty Sexy Money Pilot	2007	Queens	Long Island
Babylon Fields Pilot	2007	Queens	Long Island
Transbeman	2007	Queens	Long Island
New Amsterdam Season 1	2007	Queens	Long Island
Gossip Girl Season 1	2007	Queens	Long Island
Cashmere Mafia Season 1	2007	Queens	Long Island
Thirty Rock Season 2	2007	Queens	Long Island
What Happens in Vegas	2007	Queens	Long Island
Sex and the City	2007	Queens	Long Island
Lukas Reiter Pilot	2007	Queens	Long Island
Brooklyn to Manhattan	2007	Bronx	NYC
Baby Mama	2007	Kings	NYC
Multiple Sarcasms	2007	Kings	NYC
Flight of the Conchords Season 1	2007	Kings	NYC
My Father's Will	2007	Kings	NYC
Damages Season 1	2007	Kings	NYC
"Wackness, The"	2007	Kings	NYC
Burn After Reading	2007	Kings	NYC
Ghost Town	2007	Kings	NYC
See You in September	2007	Kings	NYC
Damages Pilot	2007	Kings	NYC
Toe Tactic	2007	Kings	NYC
August	2007	Kings	NYC
Calling It Quits	2007	Kings	NYC
Nick&Nora's Infinite Playlist	2007	Kings	NYC
"Synecdoche, NY"	2007	Kings	NYC
Uncertainty	2007	Kings	NYC
Wonderwall	2007	Kings	NYC
Asylum Seekers	2007	Kings	NYC
Rosencrantz & Guildenstern are Undead	2007	Kings	NYC
Blood Night	2007	Kings	NYC
Peter and Vandy	2007	Kings	NYC
Cold Souls (aka Russian Project)	2007	Kings	NYC
Law and Order CI Season 7	2007	New York	NYC
Law and Order Season 18	2007	New York	NYC
Saturday Night Live Season 33	2007	New York	NYC
Big Gay Sketch Show Season 2	2007	New York	NYC
"Caller, The (On the Hook)"	2007	Queens	NYC
Staten Island	2007	Queens	NYC
You're Nobody til Somebody Kills You	2007	Queens	NYC
Return of Jezebel James Season 1	2007	Queens	NYC
Johnny and the Sprites Season	2007	Queens	NYC
Doubt	2007	Queens	NYC
Blue Blood Pilot	2007	Queens	NYC
New Amsterdam Pilot	2007	Queens	NYC
Rescue Me Season 4	2007	Queens	NYC
Lipstick Jungle Pilot	2007	Queens	NYC
MONY Pilot	2007	Queens	NYC
Fort Pitt Pilot	2007	Queens	NYC
Canterbury's Law Pilot	2007	Queens	NYC
"Project, The"	2007	Queens	NYC
Naked Brothers Band Season 2	2007	Queens	NYC
Lipstick Jungle Season 1	2007	Queens	NYC
Canterbury's Law Season 1	2007	Queens	NYC
Duplicity	2007	Queens	NYC
Fighting	2007	Queens	NYC
Precious	2007	Queens	NYC
Untitled Movie Project	2007	Queens	NYC
Reunion	2007	Queens	NYC
Death In Love	2007	Richmond	NYC
Alphabet Killer	2006	Monroe	Finger Lakes
Sophomore	2006	Monroe	Finger Lakes
Dog Year	2006	Queens	Long Island
Six Degrees Season 1	2006	Queens	Long Island
Joshua	2006	Queens	Long Island
Savages	2006	Queens	Long Island
Drift Pilot	2006	Queens	Long Island
Knights of Prosperity Pilot	2006	Queens	Long Island
Six Degrees Pilot	2006	Queens	Long Island
Ugly Betty Pilot	2006	Queens	Long Island
Margo at the Wedding	2006	Queens	Long Island
Music and Lyrics byåÉ	2006	Queens	Long Island
Train Wreck	2006	Queens	Long Island
Mad Men Pilot	2006	Queens	Long Island
Kidnapped Season 1	2006	Queens	Long Island
Anamorph	2006	Queens	Long Island
Thirty Rock Season 1	2006	Queens	Long Island
Brief Interviews with Hideous Men	2006	Queens	Long Island
Knights of Prosperity Season 1	2006	Queens	Long Island
Ditty Doodle Works Season 2	2006	Suffolk	Long Island
Tenderness	2006	Westchester	Mid-Hudson
Funny Games	2006	Kings	NYC
Killing Floor	2006	Kings	NYC
Day Zero	2006	Kings	NYC
Dedication	2006	Kings	NYC
Cake Eaters	2006	Kings	NYC
Ten	2006	Kings	NYC
Goodbye Baby	2006	Kings	NYC
"Visitor, The"	2006	Kings	NYC
Girl in the Park	2006	Kings	NYC
Life in Flight	2006	Kings	NYC
"Ministers, The"	2006	Kings	NYC
My Sassy Girl	2006	Kings	NYC
I Am Legend	2006	Kings	NYC
Then She Found Me	2006	Kings	NYC
Enchanted	2006	Kings	NYC
Nanny Diaries	2006	Kings	NYC
Wedding Album Pilot	2006	Kings	NYC
American Gangster	2006	Kings	NYC
Life Support	2006	Kings	NYC
"Tourist, The"	2006	Kings	NYC
Saturday Night Live Season 32	2006	New York	NYC
Thirty Rock Pilot	2006	New York	NYC
Law and Order Season 17	2006	New York	NYC
Law and Order CI Season 6	2006	New York	NYC
Pride and Glory	2006	Queens	NYC
Broken English	2006	Queens	NYC
Three Lbs Season 1	2006	Queens	NYC
Victoriana (aka Price of a Dream )	2006	Queens	NYC
Accidental Husband	2006	Queens	NYC
Never Forever	2006	Queens	NYC
Traveler Pilot	2006	Queens	NYC
"Guitar, The"	2006	Queens	NYC
Brave One	2006	Queens	NYC
Suburban Girl (GGHF)	2006	Queens	NYC
Rescue Me Season 3	2006	Queens	NYC
Babysitters	2006	Queens	NYC
Shanghai Hotel	2006	Queens	NYC
Black Donnellys Season	2006	Queens	NYC
Definitely Maybe	2006	Queens	NYC
Christmas (Natale) in NY	2006	Queens	NYC
West 32nd Street	2006	Queens	NYC
P.S. I Love You	2006	Queens	NYC
Before the Devil Knows You're Dead	2006	Queens	NYC
We Own the Night	2006	Queens	NYC
Margaret	2005	Queens	Long Island
El Cantante	2005	Queens	Long Island
Kidnapped Pilot	2005	Queens	Long Island
Bedford Diaries Pilot	2005	Queens	Long Island
Lennie Rose Pilot	2005	Queens	Long Island
Pros and Cons Pilot	2005	Queens	Long Island
Prince Pilot	2005	Queens	Long Island
Night Listener	2005	Queens	Long Island
Book Of Daniel Season 1	2005	Queens	Long Island
Kettle of Fish	2005	Queens	Long Island
Very Serious Person	2005	Queens	Long Island
Little Children	2005	Queens	Long Island
Hope and Faith Season 3	2005	Queens	Long Island
Devil Wears Prada	2005	Queens	Long Island
Griffin and Phoenix	2005	Queens	Long Island
No Reservations	2005	Queens	Long Island
Ditty Doodle Works Season 1	2005	Suffolk	Long Island
Freedomland	2005	Westchester	Mid-Hudson
First Born	2005	Westchester	Mid-Hudson
Good Shepherd	2005	Essex	North Country
Perfect Stranger	2005	Kings	NYC
Namesake	2005	Kings	NYC
Fur	2005	Kings	NYC
Inside Man	2005	Kings	NYC
Hoax	2005	Kings	NYC
Across the Universe	2005	Kings	NYC
My Super Ex-Girlfriend	2005	Kings	NYC
Chapter 27	2005	Kings	NYC
Fast Track	2005	Kings	NYC
Beautiful Ohio	2005	Kings	NYC
Puccini for Beginners	2005	Kings	NYC
Law and Order CI Season 5	2005	New York	NYC
Law and Order Season 16	2005	New York	NYC
August Rush	2005	New York	NYC
Ira and Abby	2005	New York	NYC
Purple Violets	2005	New York	NYC
Love Monkey Pilot	2005	Queens	NYC
Love Monkey Season 1	2005	Queens	NYC
Awake	2005	Queens	NYC
Bella	2005	Queens	NYC
Black Donnellys Pilot	2005	Queens	NYC
Conviction Season 1	2005	Queens	NYC
Nailed Right In (BklynRules)	2005	Queens	NYC
Stella	2005	Queens	NYC
Architect (All Fall Down)	2005	Queens	NYC
Diggers	2005	Queens	NYC
Guide to Recognizing Your Saints	2005	Queens	NYC
Off the Black	2005	Queens	NYC
Crime	2005	Queens	NYC
Spinning into Butter	2005	Queens	NYC
Gardener of Eden	2005	Queens	NYC
Delirious	2005	Queens	NYC
Michael Clayton	2005	Queens	NYC
Pleasure of your Company	2005	Queens	NYC
Quid Pro Quo	2005	Queens	NYC
Bedford Diaries Season 1	2005	Queens	NYC
Buffalo Bushido	2005	Erie	Western NY
NY-70 Pilot	2004	Queens	Long Island
Hope and Faith Season 2	2004	Queens	Long Island
Jonny Zero	2004	Queens	Long Island
Sopranos	2004	Queens	Long Island
Broken Flowers	2004	Westchester	Mid-Hudson
Trust the Man	2004	Westchester	Mid-Hudson
Carlito's Way	2004	Westchester	Mid-Hudson
Departed	2004	Kings	NYC
Chappelle Show Season	2004	Kings	NYC
Producers	2004	Kings	NYC
Law and Order CI Season 4	2004	New York	NYC
Law and Order Season 15	2004	New York	NYC
Rescue Me Season 2	2004	Queens	NYC
Third Watch	2004	Queens	NYC
Prime	2004	Queens	NYC
Law and Order TBJ	2004	Queens	NYC
Rescue Me Season 1	2004	Queens	NYC
